Source,Target,Weight,Partie
mots,Passeuse,131,Partie_1
Abel,prince,45,Partie_1
pouvoir,savoir,38,Partie_1
pouvoir,vouloir,38,Partie_1
savoir,vouloir,38,Partie_1
compte,rendre,36,Partie_1
aller,savoir,34,Partie_1
poser,question,33,Partie_1
soldat,verre,32,Partie_1
Abel,Reina,31,Partie_1
épaule,main,30,Partie_1
passer,temps,29,Partie_1
Alric,Reina,28,Partie_1
Arya,Rosenwald,28,Partie_1
Killian,regard,26,Partie_1
Alric,Killian,25,Partie_1
main,prendre,24,Partie_1
pouvoir,seul,24,Partie_1
Abel,Alric,23,Partie_1
prendre,temps,23,Partie_1
Aïdan,vouloir,21,Partie_1
Fer,Val,21,Partie_1
Killian,main,21,Partie_1
main,tenir,21,Partie_1
mot,pouvoir,21,Partie_1
place,prendre,21,Partie_1
Alric,main,20,Partie_1
Aïdan,magie,20,Partie_1
Killian,Reina,20,Partie_1
comprendre,pouvoir,20,Partie_1
main,mettre,20,Partie_1
mots,Passeur,20,Partie_1
mots,Passeuses,20,Partie_1
bouche,sortir,19,Partie_1
chercher,venir,19,Partie_1
chose,pouvoir,19,Partie_1
devoir,savoir,19,Partie_1
nom,prononcer,19,Partie_1
pouvoir,temps,19,Partie_1
Abel,main,18,Partie_1
Arya,savoir,18,Partie_1
Aïdan,pouvoir,18,Partie_1
bouche,main,18,Partie_1
main,tête,18,Partie_1
Killian,Nightbringer,17,Partie_1
changer,pouvoir,17,Partie_1
dernier,fois,17,Partie_1
doigt,pointer,17,Partie_1
magie,pouvoir,17,Partie_1
main,poser,17,Partie_1
pouvoir,vie,17,Partie_1
pouvoir,voir,17,Partie_1
vie,vouloir,17,Partie_1
épaule,tête,17,Partie_1
Aïdan,savoir,16,Partie_1
Cité,Immergé,16,Partie_1
blanc,cheveu,16,Partie_1
cœur,pouvoir,16,Partie_1
fermer,oeil,16,Partie_1
fille,jeune,16,Partie_1
hocher,tête,16,Partie_1
main,Reina,16,Partie_1
main,tendre,16,Partie_1
mots,pouvoir,16,Partie_1
noir,oeil,16,Partie_1
penser,pouvoir,16,Partie_1
Abel,Killian,15,Partie_1
aimer,pouvoir,15,Partie_1
aller,pouvoir,15,Partie_1
battre,cœur,15,Partie_1
corps,esprit,15,Partie_1
entendre,voix,15,Partie_1
esprit,image,15,Partie_1
jour,nuit,15,Partie_1
laisser,place,15,Partie_1
laisser,temps,15,Partie_1
mourir,pouvoir,15,Partie_1
mémoire,souvenir,15,Partie_1
ouvrir,porte,15,Partie_1
savoir,temps,15,Partie_1
âme,corps,15,Partie_1
Abel,voix,14,Partie_1
Alric,tête,14,Partie_1
aller,devoir,14,Partie_1
chose,savoir,14,Partie_1
devenir,pouvoir,14,Partie_1
esprit,pouvoir,14,Partie_1
main,oeil,14,Partie_1
monde,pouvoir,14,Partie_1
petit,pouvoir,14,Partie_1
Abel,Arya,13,Partie_1
Arya,vouloir,13,Partie_1
Gallicia,reine,13,Partie_1
attraper,main,13,Partie_1
