Id,Label,POS_Category,Total_Frequency,partie
revenir,revenir,VERB,77,Partie_2
verre,verre,NOUN,77,Partie_1
éclat,éclat,NOUN,77,Partie_2
foyer,foyer,PROPN,76,Partie_2
jeune,jeune,ADJ,76,Partie_2
meilleur,meilleur,ADJ,76,Partie_2
présence,présence,NOUN,76,Partie_2
rire,rire,NOUN,76,Partie_1
répondre,répondre,VERB,76,Partie_1
saule,saule,NOUN,76,Partie_2
souffle,souffle,NOUN,76,Partie_2
apprendre,apprendre,VERB,75,Partie_2
attention,attention,NOUN,75,Partie_2
chaleur,chaleur,NOUN,75,Partie_2
flamme,flamme,NOUN,75,Partie_2
fond,fond,NOUN,75,Partie_1
gorge,gorge,NOUN,75,Partie_2
image,image,NOUN,75,Partie_2
milieu,milieu,NOUN,75,Partie_1
pièce,pièce,NOUN,75,Partie_2
plume,plume,NOUN,75,Partie_2
poser,poser,VERB,75,Partie_2
pousser,pousser,VERB,75,Partie_2
protéger,protéger,VERB,75,Partie_2
réponse,réponse,NOUN,75,Partie_1
sentiment,sentiment,NOUN,75,Partie_2
silence,silence,NOUN,75,Partie_1
appartenir,appartenir,VERB,74,Partie_2
bas,bas,ADJ,74,Partie_2
compagnon,compagnon,NOUN,74,Partie_1
espoir,espoir,NOUN,74,Partie_2
invisible,invisible,ADJ,74,Partie_2
pierre,pierre,NOUN,74,Partie_1
retirer,retirer,VERB,74,Partie_2
Saren,Saren,PROPN,73,Partie_1
fleur,fleur,NOUN,73,Partie_2
gris,gris,ADJ,73,Partie_2
travers,travers,NOUN,73,Partie_2
étrange,étrange,ADJ,73,Partie_2
Dhurgal,Dhurgal,PROPN,72,Partie_2
argent,argent,NOUN,72,Partie_2
arracher,arracher,VERB,72,Partie_1
bleu,bleu,ADJ,72,Partie_1
cou,cou,NOUN,72,Partie_2
geste,geste,NOUN,72,Partie_1
lieutenant,lieutenant,NOUN,72,Partie_2
nez,nez,NOUN,72,Partie_2
rejoindre,rejoindre,VERB,72,Partie_1
relever,relever,VERB,72,Partie_1
roi,roi,NOUN,72,Partie_1
serpent,serpent,NOUN,72,Partie_2
briser,briser,VERB,71,Partie_2
importer,importer,VERB,71,Partie_1
montrer,montrer,VERB,71,Partie_1
soleil,soleil,NOUN,71,Partie_1
suite,suite,NOUN,71,Partie_2
tenter,tenter,VERB,71,Partie_2
manière,manière,NOUN,70,Partie_1
secret,secret,NOUN,70,Partie_1
vide,vide,ADJ,70,Partie_2
Luna,Luna,PROPN,69,Partie_1
capable,capable,ADJ,69,Partie_2
créer,créer,VERB,69,Partie_2
fil,fil,NOUN,69,Partie_2
guide,guide,NOUN,69,Partie_2
lieu,lieu,NOUN,69,Partie_1
rêve,rêve,NOUN,69,Partie_2
simple,simple,ADJ,69,Partie_1
sorte,sorte,NOUN,69,Partie_2
approcher,approcher,VERB,68,Partie_1
arracher,arracher,VERB,68,Partie_2
genre,genre,NOUN,68,Partie_2
général,général,ADJ,68,Partie_2
jeu,jeu,NOUN,68,Partie_2
moindre,moindre,ADJ,68,Partie_2
oreille,oreille,NOUN,68,Partie_1
utiliser,utiliser,VERB,68,Partie_1
voler,voler,VERB,68,Partie_2
ancien,ancien,ADJ,67,Partie_1
mur,mur,NOUN,67,Partie_2
page,page,NOUN,67,Partie_1
ressembler,ressembler,VERB,67,Partie_1
roi,roi,NOUN,67,Partie_2
seconde,seconde,NOUN,67,Partie_1
sûr,sûr,ADJ,67,Partie_1
vide,vide,NOUN,67,Partie_1
Archelune,Archelune,PROPN,66,Partie_2
ajouter,ajouter,VERB,66,Partie_2
ami,ami,NOUN,66,Partie_1
creux,creux,NOUN,66,Partie_2
finir,finir,VERB,66,Partie_1
impression,impression,NOUN,66,Partie_1
masque,masque,NOUN,66,Partie_2
ressembler,ressembler,VERB,66,Partie_2
ressentir,ressentir,VERB,66,Partie_1
retourner,retourner,VERB,66,Partie_2
ténèbre,ténèbre,NOUN,66,Partie_2
Archelune,Archelune,PROPN,65,Partie_1
Hélianthe,Hélianthe,PROPN,65,Partie_1
compte,compte,NOUN,65,Partie_1
empêcher,empêcher,VERB,65,Partie_1
gardien,gardien,NOUN,65,Partie_2
inné,inné,PROPN,65,Partie_2
larme,larme,NOUN,65,Partie_1
lever,lever,VERB,65,Partie_1
sentiment,sentiment,NOUN,65,Partie_1
tendre,tendre,VERB,65,Partie_1
couleur,couleur,NOUN,64,Partie_1
ferraille,ferraille,PROPN,64,Partie_2
frère,frère,NOUN,64,Partie_1
jouer,jouer,VERB,64,Partie_1
lien,lien,NOUN,64,Partie_1
parfait,parfait,ADJ,64,Partie_2
passage,passage,NOUN,64,Partie_2
posséder,posséder,VERB,64,Partie_1
protéger,protéger,VERB,64,Partie_1
ressentir,ressentir,VERB,64,Partie_2
tour,tour,NOUN,64,Partie_1
véritable,véritable,ADJ,64,Partie_2
état,état,NOUN,64,Partie_2
Dhurgal,Dhurgal,PROPN,63,Partie_1
Mantra,Mantra,PROPN,63,Partie_1
atteindre,atteindre,VERB,63,Partie_2
bois,bois,NOUN,63,Partie_1
chaud,chaud,ADJ,63,Partie_2
colère,colère,NOUN,63,Partie_1
conscience,conscience,NOUN,63,Partie_2
entrer,entrer,VERB,63,Partie_2
jeune,jeune,ADJ,63,Partie_1
minute,minute,NOUN,63,Partie_2
offrir,offrir,VERB,63,Partie_1
remarquer,remarquer,VERB,63,Partie_2
remettre,remettre,VERB,63,Partie_2
étoile,étoile,NOUN,63,Partie_1
Halgerta,Halgerta,PROPN,62,Partie_2
accompagner,accompagner,VERB,62,Partie_2
amuser,amuser,VERB,62,Partie_2
heureux,heureux,ADJ,62,Partie_2
image,image,NOUN,62,Partie_1
mouvement,mouvement,NOUN,62,Partie_2
toucher,toucher,VERB,62,Partie_1
battre,battre,VERB,61,Partie_1
cadeau,cadeau,NOUN,61,Partie_2
chemin,chemin,NOUN,61,Partie_1
ennemi,ennemi,NOUN,61,Partie_2
essayer,essayer,VERB,61,Partie_2
montrer,montrer,VERB,61,Partie_2
nature,nature,NOUN,61,Partie_1
obtenir,obtenir,VERB,61,Partie_2
possible,possible,ADJ,61,Partie_2
présent,présent,NOUN,61,Partie_1
vent,vent,NOUN,61,Partie_2
vivre,vivre,VERB,61,Partie_2
Onome,Onome,PROPN,60,Partie_2
Pixie,Pixie,PROPN,60,Partie_2
approcher,approcher,VERB,60,Partie_2
capable,capable,ADJ,60,Partie_1
imaginer,imaginer,VERB,60,Partie_2
occuper,occuper,VERB,60,Partie_2
parole,parole,NOUN,60,Partie_1
partir,partir,VERB,60,Partie_1
poids,poids,NOUN,60,Partie_2
regarder,regarder,VERB,60,Partie_2
soir,soir,NOUN,60,Partie_2
sujet,sujet,NOUN,60,Partie_2
ventre,ventre,NOUN,60,Partie_2
échapper,échapper,VERB,60,Partie_2
Limë,Limë,PROPN,59,Partie_2
choix,choix,NOUN,59,Partie_1
douceur,douceur,NOUN,59,Partie_2
détourner,détourner,VERB,59,Partie_2
endroit,endroit,NOUN,59,Partie_2
heure,heure,NOUN,59,Partie_1
monstre,monstre,NOUN,59,Partie_2
mériter,mériter,VERB,59,Partie_2
os,os,NOUN,59,Partie_2
partager,partager,VERB,59,Partie_2
poitrine,poitrine,NOUN,59,Partie_1
père,père,NOUN,59,Partie_2
regarder,regarder,VERB,59,Partie_1
réalité,réalité,NOUN,59,Partie_1
révéler,révéler,VERB,59,Partie_2
semblable,semblable,ADJ,59,Partie_2
Ignis,Ignis,PROPN,58,Partie_2
accorder,accorder,VERB,58,Partie_2
baiser,baiser,NOUN,58,Partie_2
commun,commun,ADJ,58,Partie_2
dent,dent,NOUN,58,Partie_2
entier,entier,ADJ,58,Partie_2
espérer,espérer,VERB,58,Partie_2
gros,gros,ADJ,58,Partie_2
libérer,libérer,VERB,58,Partie_2
peine,peine,NOUN,58,Partie_1
préférer,préférer,VERB,58,Partie_2
retour,retour,NOUN,58,Partie_2
royaume,royaume,NOUN,58,Partie_1
sortilège,sortilège,NOUN,58,Partie_2
souhaiter,souhaiter,VERB,58,Partie_2
suffire,suffire,VERB,58,Partie_2
vivre,vivre,VERB,58,Partie_1
Hélios,Hélios,PROPN,57,Partie_1
Séïa,Séïa,PROPN,57,Partie_2
accrocher,accrocher,VERB,57,Partie_2
agir,agir,VERB,57,Partie_2
appel,appel,NOUN,57,Partie_1
coin,coin,NOUN,57,Partie_2
confiance,confiance,NOUN,57,Partie_1
former,former,VERB,57,Partie_2
frapper,frapper,VERB,57,Partie_2
livre,livre,NOUN,57,Partie_2
mauvais,mauvais,ADJ,57,Partie_1
monter,monter,VERB,57,Partie_2
obscurité,obscurité,NOUN,57,Partie_2
poing,poing,NOUN,57,Partie_2
pression,pression,NOUN,57,Partie_2
réussir,réussir,VERB,57,Partie_1
sauver,sauver,VERB,57,Partie_2
travers,travers,NOUN,57,Partie_1
écouter,écouter,VERB,57,Partie_2
Bruixe,Bruixe,PROPN,56,Partie_2
Kortan,Kortan,PROPN,56,Partie_2
aile,aile,NOUN,56,Partie_1
cause,cause,NOUN,56,Partie_1
chaos,chaos,NOUN,56,Partie_2
charger,charger,VERB,56,Partie_2
compter,compter,VERB,56,Partie_1
confier,confier,VERB,56,Partie_2
déposer,déposer,VERB,56,Partie_2
enfant,enfant,NOUN,56,Partie_2
idée,idée,NOUN,56,Partie_1
papillon,papillon,NOUN,56,Partie_2
paupière,paupière,NOUN,56,Partie_2
reflet,reflet,NOUN,56,Partie_2
silhouette,silhouette,NOUN,56,Partie_2
sombre,sombre,ADJ,56,Partie_1
vue,vue,NOUN,56,Partie_2
Naessis,Naessis,PROPN,55,Partie_2
bruit,bruit,NOUN,55,Partie_1
dieu,dieu,NOUN,55,Partie_2
fille,fille,NOUN,55,Partie_1
jeter,jeter,VERB,55,Partie_1
lit,lit,NOUN,55,Partie_2
maison,maison,NOUN,55,Partie_2
mouvement,mouvement,NOUN,55,Partie_1
os,os,NOUN,55,Partie_1
parfum,parfum,NOUN,55,Partie_2
réalité,réalité,NOUN,55,Partie_2
répéter,répéter,VERB,55,Partie_2
sauver,sauver,VERB,55,Partie_1
tuer,tuer,VERB,55,Partie_1
éclat,éclat,NOUN,55,Partie_1
Galéjade,Galéjade,PROPN,54,Partie_2
Horner,Horner,PROPN,54,Partie_2
angoisse,angoisse,NOUN,54,Partie_2
cas,cas,NOUN,54,Partie_1
contenter,contenter,VERB,54,Partie_2
découvrir,découvrir,VERB,54,Partie_1
essayer,essayer,VERB,54,Partie_1
lueur,lueur,NOUN,54,Partie_2
mémoire,mémoire,NOUN,54,Partie_2
naître,naître,VERB,54,Partie_2
plaisir,plaisir,NOUN,54,Partie_2
présence,présence,NOUN,54,Partie_1
retourner,retourner,VERB,54,Partie_1
